V1,V2
UCN3,3.884258606
LCE1A,3.419231036
GABRA1,3.367954945
FTHL17,3.340319631
INS,3.259641487
KRT1,3.243667481
LCE1F,3.198828301
IBSP,3.155080074
GAGE2A,3.153783245
CGA,3.122972888
LORICRIN,3.122416
IAPP,3.115341681
CSAG1,3.111144132
PAGE1,3.091210497
LCE2C,3.080259522
LCE2D,3.07809335
BPIFA1,3.044274415
LCE1B,3.008043793
KRTAP9-4,2.999271439
NEUROD1,2.99872348
SPDYC,2.961606829
MUC2,2.958581926
SPANXB1,2.936611552
PAGE2,2.89541628
CST4,2.867173962
GABRQ,2.862591876
PRR27,2.859956451
GCG,2.859589459
CST5,2.848387078
TRPA1,2.840255583
C1orf68,2.834738519
CRCT1,2.828512205
MAGEA1,2.822308137
REG1A,2.742572842
FMR1NB,2.739171167
PCSK1,2.727087813
MAGEA12,2.725870928
COX7B2,2.717287216
LRRC53,2.714641437
CCDC172,2.684450382
OR4B1,2.674551818
PSG11,2.673617294
MAGEA3,2.665129133
VCX3A,2.66435274
KLHL1,2.632471935
BPIFA2,2.576943378
GAGE1,2.564758003
RTBDN,2.521709327
ACTL8,2.516136223
CD177,2.511111214
GHSR,2.508317269
LCE6A,2.468348119
CT45A1,2.456305238
H3C11,2.453772434
CHGA,2.452129432
TRH,2.438609508
MAGEA10,2.436703898
KPRP,2.43219354
LCE2A,2.41767806
TCHHL1,2.410127016
TGM4,2.409419996
POU3F2,2.40796796
LCE1D,2.405874851
GNAT3,2.405100537
ALPI,2.403339909
GABRA5,2.393454308
FGF4,2.382713242
MAEL,2.381657321
SSX3,2.378756072
SERPINB4,2.374848063
LHX3,2.355182141
PNMA6E,2.335425032
CASP14,2.326636317
NSG2,2.317694869
CBLN2,2.311884332
CHRNA9,2.310529869
CT45A10,2.306029447
OLFM3,2.282172192
DMP1,2.27787371
ROS1,2.269183315
ACAN,2.266868634
GABRG2,2.266688178
NEUROD4,2.263796154
SMR3B,2.262706358
SSX1,2.262412026
CYP2A7,2.257819154
CPLX2,2.251174192
FLG2,2.249671391
MMP1,2.238800301
DCD,2.221293161
LCE1C,2.220874784
MAGEC2,2.218886009
CST2,2.214645051
CNGA2,2.212273542
H4C13,2.212134484
MAGEB16,2.208112549
CFC1,2.201466196
