V1,V2
SPAG11A,8.401313594
MAGEB1,6.997048422
PRB4,6.277732967
FETUB,6.207095892
KRTAP3-3,6.0637658
BPIFB6,6.059900191
TEX37,5.782166525
H2BW1,5.377055357
CRYAA2,5.18319499
OR5AN1,5.159562996
AL772284.2,5.157481039
LEUTX,5.12391787
OR14J1,5.094800657
OCM2,4.905338749
SPANXC,4.904229926
MAGEA9B,4.823194975
OR2T10,4.820189116
PRR23B,4.802724802
SPATA3,4.789874132
CCDC105,4.757695429
OR5A1,4.668506221
OR56A3,4.66601021
OR2G6,4.639534387
GPX6,4.636901223
KRTAP10-1,4.631803242
GPR148,4.622171372
DCAF8L1,4.620218249
FAM71B,4.559983704
HSFY2,4.540546315
AC120057.2,4.516181063
OR4K1,4.491591925
REG4,4.471147322
AC009690.3,4.397032239
GH2,4.374634284
IFNA10,4.364810244
OR52E8,4.352991659
OR4Q3,4.347729764
AL109827.1,4.341873943
SMIM36,4.335973703
PRAMEF13,4.324836881
GAGE12J,4.323665174
OR4S1,4.31636362
H3Y1,4.313811866
OR7A10,4.30546423
OR1E2,4.272993393
KRTAP20-4,4.245663341
AC093423.3,4.211505994
FGF6,4.200424384
SPINK4,4.1943359
FAM9A,4.156975028
OR6C1,4.144965762
KRTAP12-1,4.138594339
KRTAP13-3,4.13071489
KRTAP27-1,4.117979137
IQCF1,4.115227802
HES3,4.112583274
SLCO1B3-SLCO1B7,4.103874931
TFF2,4.097273307
OR52E2,4.094625304
DEFA5,4.060615816
DEFB115,4.054747435
XAGE5,4.031339253
PRM1,3.953045846
PSG6,3.942456194
APCS,3.92085627
CGB2,3.898833256
SPAG11B,3.857766242
OR1L1,3.804176932
FOXR2,3.782995761
KRTAP4-9,3.747504004
TGIF2LY,3.746947469
MS4A13,3.715234157
DKK4,3.65425896
OR13H1,3.616407378
H2AP,3.598542526
ACTL8,3.582215535
DCAF8L2,3.561094053
SPANXN3,3.522342496
KRTAP21-2,3.502523142
PSG9,3.47446427
CRYGC,3.471260214
NEU2,3.466083005
OR1F1,3.465797272
DMRTB1,3.454637491
VGLL2,3.441445274
SPANXN1,3.440664996
DLK1,3.366748681
KRTAP19-5,3.345395937
AC104581.2,3.343453997
OR2B2,3.335122287
OR14C36,3.324213323
CALCA,3.318532771
MAGEB6B,3.288482109
KRTAP9-1,3.286328369
OR2D3,3.280143281
REG1A,3.264976484
TSPY9P,3.260109501
PCSK1,3.255605166
CFAP126,3.24926951
AC004080.3,3.229637129
CALB1,3.220999659
OR5V1,3.217732163
OTOL1,3.195065933
FGF3,3.194254419
FRG2,3.188439013
BPIFB4,3.18601013
MBD3L2,3.177178535
ADIRF,3.171774047
TM4SF5,3.164600366
INSL4,3.152727824
CRYGB,3.11177211
MAGEC2,3.110609379
PRSS56,3.108618123
KRT20,3.087967832
EVX2,3.084588138
SST,3.076117411
OR2AT4,3.060750138
OR51L1,3.053862135
VGF,3.036363795
FRG2B,3.032893574
GC,3.016123575
C11orf86,2.995617498
AC008481.3,2.992681025
CPN1,2.984276781
MAGEA6,2.98393035
TFF1,2.975771477
SSX1,2.955341005
CT47A3,2.949109023
TSPY1,2.939912547
CSN2,2.939253638
ZNF479,2.936430749
OR1G1,2.931092662
PADI3,2.918191653
INS,2.915731675
RESP18,2.91259252
MAGEA3,2.888120704
VN1R4,2.887579175
ALB,2.886151955
VCY1B,2.881845827
PSG1,2.878775439
CGA,2.878081426
TEX19,2.877921421
ANXA10,2.872700789
MAGEA2,2.870327502
MAGEC1,2.857235271
BARX1,2.857112979
DEFB129,2.854302213
H1-5,2.850707451
SPRR4,2.850152823
CRABP1,2.849208146
ASB17,2.843808687
OR8G1,2.839004751
F2,2.837922696
OR2AG1,2.835064127
DEFB127,2.821357863
CHGB,2.819773962
GAGE2A,2.815457603
CNGA2,2.810671356
SLC18A3,2.806760098
SPANXA2,2.803925945
PRB1,2.797846121
TM4SF20,2.795441387
SERPINA4,2.790152326
ALPI,2.787327196
MUC17,2.780603396
DEFB121,2.778775293
PRSS1,2.775484944
FGB,2.771832946
APOBEC1,2.771111173
OR4A16,2.767716944
H1-3,2.766348524
P3R3URF,2.76631844
H4C7,2.765033284
KRTAP10-6,2.762501498
OR2J2,2.760316075
KRT35,2.75079466
EPS8L3,2.743370538
F13B,2.742586144
OR7D4,2.741343284
KRTAP4-2,2.741169856
MAGEA10,2.737068549
AC110275.1,2.726254319
OR4E1,2.714231265
DCAF4L2,2.70152035
KRT75,2.699307168
HOXA13,2.698038064
OPN1MW3,2.68689856
KRTAP10-3,2.686788624
CASP14,2.686307156
MYBPC1,2.686275576
CSAG1,2.682128956
CXorf49,2.67638872
KRT81,2.670963548
DMRTC2,2.67053528
MAGEA11,2.668384167
H2BC14,2.666749804
HRH3,2.666699831
AL365232.1,2.659187138
AC012531.3,2.658625532
INHA,2.658560974
KRTAP2-2,2.65836098
CPS1,2.646949451
PNMA5,2.644877741
HOXC12,2.644549346
TCN1,2.63431659
CALML5,2.633812986
OR2W1,2.633682603
CA6,2.624948871
CYLC2,2.621456568
UGT1A10,2.620155974
OR13D1,2.620084878
OR2T35,2.618267571
TBXT,2.61572196
DEFB135,2.613772666
OR4D10,2.612290196
SPANXB1,2.612019853
AC008687.1,2.606903453
OR4C3,2.606591242
SPP2,2.606281449
TAC1,2.602403795
TRIM77,2.597281811
CST9L,2.594745682
H1-1,2.581776328
SOHLH1,2.562877772
AL807752.6,2.558177884
UGT2B11,2.557567595
CALML3,2.556819642
HOXD13,2.556533429
CSH1,2.55137734
OR5T3,2.551078009
GCG,2.544872356
OR10H5,2.542030024
COX7B2,2.536017778
CNMD,2.534766376
DPYSL5,2.532864347
TLX1,2.53275623
DPPA2,2.527472827
VSTM2B,2.504926824
ZP4,2.504337722
H2AC14,2.503902439
MUC2,2.501576491
PAEP,2.501434115
SPATA16,2.498740669
ATXN3L,2.479089265
PASD1,2.471519512
PAGE1,2.4677078
KCNK18,2.465417527
OR4M1,2.465208645
CT45A9,2.460842392
LYZL1,2.45901726
IRX4,2.45713226
H2AC12,2.456639589
OR9Q2,2.439806225
TUBA3C,2.438261211
FGF5,2.437847184
OC90,2.436197747
H1-4,2.430759131
CPLX2,2.423271153
TM4SF4,2.421682539
H4C3,2.421261638
NKX1-2,2.421191934
TRPM8,2.418812603
H2AC21,2.415744114
SMIM34A,2.413504623
FUT9,2.40773442
IL37,2.405787483
H2BC10,2.40462915
UGT3A1,2.403384254
FAM237A,2.402053987
MAEL,2.400518046
HHIPL2,2.398371552
IL36RN,2.387360706
TMEM271,2.385151309
TUNAR,2.382557992
MAGEA1,2.382489621
OR12D3,2.381569171
SPIC,2.380552388
SPANXN4,2.380032441
H4C5,2.378793948
KRTAP4-7,2.377958609
CSHL1,2.370142607
OTX2,2.357153383
AC022335.1,2.353639263
SOX14,2.353474748
LGALS16,2.348607359
KCNC2,2.345861831
OR5M1,2.342735683
SPRR2A,2.341635013
NPSR1,2.336673977
SP9,2.333958524
CDK5R2,2.326901303
PITX2,2.316701425
OR7G1,2.314853121
TMPRSS11E,2.310481764
MAGEB2,2.309499846
SP8,2.303271188
MAGEA4,2.300340609
OR52E4,2.299894666
FOXI3,2.299364987
GAGE1,2.299057874
OR1D5,2.297743424
NEUROD1,2.295039694
FAM47A,2.288413656
CRYBA2,2.279868122
IZUMO3,2.275985304
NTSR2,2.274250684
INA,2.272059279
MAGEA12,2.270747036
DUSP13,2.268165925
DEFB134,2.265956504
C20orf141,2.26380723
SOX3,2.259439501
MAGEA8,2.255399018
LIN28B,2.252111015
EEF1A2,2.251368445
PRSS2,2.24961129
OR9I1,2.248071943
AL365214.2,2.247882817
PADI1,2.24248929
SPANXA1,2.242399528
UGT2B28,2.240152861
H3C7,2.238030216
OR11H2,2.234655781
OTOS,2.233386105
PSG7,2.232785476
AC008403.1,2.228723287
POU3F2,2.226368147
KRT6A,2.22631355
OR2T12,2.225586572
GP2,2.223306013
UGT1A8,2.219743574
LIN28A,2.219449469
ISX,2.2187346
KRT25,2.211609012
NKX2-2,2.20910994
PRR20G,2.208130779
H4C2,2.20809154
CTAG1A,2.207964584
AKR1B10,2.206922881
RASGEF1C,2.203696593
GABRA5,2.203103424
DEFA6,2.198612153
OR4D5,2.198224958
SSX7,2.195487216
TRIM48,2.193494534
KLK12,2.19250991
NR0B1,2.191364218
TRPC7,2.191093217
MAGEB16,2.190209527
CYP24A1,2.183971378
DEFB116,2.183087877
BOD1L2,2.181806167
HTN1,2.181407613
SPRR3,2.180421613
PAGE5,2.179271467
LRRC72,2.177012635
KIF1A,2.174485866
TMEM196,2.173964615
GABRR1,2.173785033
SPDYE9,2.171604956
GLYATL3,2.171212618
HTR3A,2.171000189
SERPINB4,2.165845298
KISS1R,2.165674628
PRLHR,2.163937125
CHAT,2.16318275
H4C13,2.159032033
H4C1,2.157868677
SALL3,2.156881305
SOX11,2.154957484
IL31,2.154766895
TMEM225,2.146601067
H2AC4,2.146245979
NAA11,2.142449297
OR4A47,2.140433612
AC010422.5,2.139189699
OTOP1,2.13854288
LCN15,2.137583499
TRIM15,2.135575133
KRT31,2.1336595
CSAG2,2.13208308
PAGE2B,2.130485511
H3C11,2.129478454
HMGA2,2.129126917
TEX13B,2.126638427
KRTAP4-5,2.125727011
GALP,2.125037882
STRA8,2.124647703
ARL14,2.122129456
H3C12,2.122024827
FAM83A,2.118743247
CRYGA,2.118650479
MMP13,2.117036524
PRSS3,2.114702679
PNPLA5,2.114685255
PHOX2B,2.112118875
TRIM6-TRIM34,2.108204775
H4C6,2.108109422
SYNPR,2.108090714
AC005670.2,2.100970463
ETNPPL,2.100676272
EIF4E1B,2.100259707
ATCAY,2.098163782
GLRA4,2.096543025
GNRH2,2.094551193
GABRA3,2.088292263
COL2A1,2.087697737
OR5H14,2.084984105
RFX6,2.082885092
H4C4,2.079915005
OR10Z1,2.078460521
HOXD11,2.074844507
DSG3,2.072329523
VAX1,2.069157464
C6orf15,2.068425646
OR2L3,2.065026827
FSHB,2.065026247
TRIM64,2.062336172
AKR1C4,2.059384496
ONECUT3,2.058995427
SPRR1B,2.057461394
CDH17,2.057411366
NPC1L1,2.050042714
TEX50,2.044946444
XAGE1A,2.04442971
WDR87,2.038490995
OLFM4,2.038324498
NPW,2.037324705
OR51A7,2.034196437
SCG2,2.033670203
HBE1,2.031122333
METTL11B,2.027026023
FGL1,2.023256348
H2AC17,2.012944346
CYLC1,2.012768081
IL1RAPL2,2.011521665
TAF7L,2.009998243
TBC1D3H,2.007981206
PSG3,2.006966146
KRTAP6-1,2.003290046
C7orf33,2.002680706
PAGE2,1.999522979
GPX2,1.997694072
CD177,1.99538552
SKOR2,1.991217464
H2BC7,1.990259019
KRT83,1.989847911
KLK6,1.989502686
MUC6,1.987026705
HOXB9,1.985128349
CALY,1.981795493
ADAM30,1.981339902
SPINK1,1.980346651
FAM25G,1.974087671
DHRS2,1.973965144
OR51A4,1.97242902
SUN5,1.970743978
TFAP2B,1.969618002
TKTL1,1.969442245
SYT13,1.964464444
FEZF1,1.960051783
H2BC17,1.959542858
OR51G1,1.95933402
COL11A2,1.958274874
PRAME,1.952972274
FGA,1.951795817
OR8D2,1.951654451
DEFB107B,1.951365432
ALX3,1.949822502
LHX1,1.949452544
UGT2B15,1.948994095
LYPD4,1.948356152
ABCC2,1.948094513
H2BC3,1.946963772
AC007375.2,1.946547886
KCNQ2,1.942914133
PPP4R3C,1.942505404
MMP10,1.941975615
S100A7L2,1.93989595
CDH18,1.93942304
