V1,V2
DEFA5,3.97972374
DEFA6,3.682267473
AMBN,3.032040037
MAGEA4,2.997938257
PNMA5,2.923807633
DEFB125,2.918894182
SPZ1,2.916238362
WFDC9,2.893944477
TMEM114,2.79084506
PAEP,2.738459091
EDDM3B,2.733732011
SPINT3,2.650166437
CRISP1,2.623194404
DRGX,2.612620534
EDDM3A,2.576025009
DEFB129,2.472209544
DEFB127,2.449762714
LIPF,2.408075154
APOA2,2.36991479
AQP2,2.281864243
PATE4,2.280781945
DEFB131A,2.276009619
SCGB1D4,2.201534886
SEMG2,2.164994619
FEZF2,2.1248972
SEMG1,2.119935016
CYP19A1,2.104073693
ETV4,2.102850218
ANKRD30A,2.087854916
CD5L,2.087581808
GUCA2A,2.084783865
MC4R,2.071387443
GBX2,2.064665893
MFSD2A,2.057602304
CT45A10,2.027941179
ELSPBP1,2.015477245
SCRT2,2.011247772
GC,1.99782114
WFDC8,1.987952964
CLDN2,1.982622759
CLCA1,1.95436717
CDC20B,1.947355522
PIP,1.945814953
SERPINA5,1.915974662
GLRA3,1.911882323
SPINK13,1.901483319
ALB,1.901395966
SLCO6A1,1.899145395
IRS4,1.890991329
PRDM9,1.884358946
PATE2,1.879975802
KLB,1.87392511
FGF3,1.853741162
SCGB2A2,1.850839943
SPINK2,1.845397089
EMX2,1.838419413
FOXG1,1.810096779
PATE3,1.809369062
PATE1,1.793773246
VPREB1,1.790956953
CALML5,1.786609355
SUCNR1,1.778739506
BARHL1,1.777140856
LCN9,1.774688897
POU3F3,1.733014885
CTAG2,1.729578356
C6orf15,1.729336815
MAGEA12,1.729002264
SLC6A18,1.728372356
UGT2B7,1.724833125
ACSL6,1.72282724
MCF2,1.719343761
SCN1A,1.700917609
HTN3,1.694010268
OTOP1,1.676758741
NR2E1,1.673251813
FLG2,1.668376469
SULT2A1,1.658876518
SLC45A2,1.647731367
MAGEA1,1.646593587
KRT20,1.640408386
CHAT,1.638949497
PDIA2,1.634941176
PRSS56,1.632911876
AKR1B1,1.605874088
BBOX1,1.60248729
MS4A15,1.600819964
HOXB8,1.59956768
TMPRSS11B,1.594923797
TM4SF20,1.587047529
APOC3,1.585453826
AL163195.3,1.583195185
GABRG1,1.576582253
CAMP,1.565814328
IQCM,1.560851086
TEDDM1,1.558339823
AL035425.2,1.557948985
OOSP2,1.5551439
AZU1,1.553154669
HOXC12,1.549417526
LCN1,1.535916904
SPINK1,1.519164805
MGAM,1.516055689
DCAF4L2,1.512206201
FGB,1.511944278
REG3A,1.508760207
PDE6H,1.507173303
DDX4,1.489025071
REG3G,1.469130143
WNT9B,1.461850486
SLC6A19,1.460702284
KLHL14,1.456088667
HMX1,1.454644982
STAC2,1.451356869
SLC13A2,1.451248756
NOTUM,1.44623537
KISS1R,1.444332711
VIL1,1.442476363
ADCY8,1.441899935
NETO1,1.43732463
POU4F1,1.43705493
CACNA1I,1.435248474
GRXCR1,1.433877994
ANXA13,1.428955995
CGA,1.426831214
COX7B2,1.423443111
KRT24,1.423030765
FBP2,1.418426765
ANKRD30B,1.417313019
SMIM21,1.411845594
KRT72,1.404754629
CPN1,1.401225456
ZNF716,1.401216599
CRTAC1,1.400513906
NNAT,1.397392369
LHX1,1.397165089
IDO2,1.396597693
PNMT,1.392333505
GLP1R,1.391650717
TBX10,1.38641944
CARD18,1.383725947
RS1,1.378511176
TAC3,1.37676048
PTPRR,1.362118011
TSBP1,1.361160267
ACE2,1.358979821
PRB1,1.355517655
UTS2B,1.355220106
ANGPTL3,1.348608323
POTEC,1.3479541
ETV1,1.343551027
RASL10B,1.342594613
PAX2,1.341660885
CES5A,1.338179992
KCP,1.329741118
CA6,1.323405738
GSTA3,1.319765938
CRNN,1.313915422
GDPD2,1.313328647
UCN3,1.31144291
FAM83A,1.308825611
H2AC18,1.308025499
CELA3B,1.307616861
FGF4,1.304708761
SCRT1,1.298668832
HOXB6,1.29445997
OR1N2,1.290218787
TFAP2B,1.28977332
CA2,1.288172259
CCL25,1.28571152
FMR1NB,1.28147502
MAGEA8,1.280877941
MUC6,1.2761199
PRR27,1.259198105
CYSLTR2,1.255325262
KIRREL3,1.254724317
HRG,1.252369541
PTGES,1.250620441
CPS1,1.250229335
KIR2DL1,1.24735901
MAGEA6,1.244162004
CCDC83,1.242913267
HS3ST5,1.235454723
ACY3,1.23489872
TRIM49,1.229686403
UGT1A10,1.226146103
MUCL1,1.222110853
NKX3-2,1.214110097
DGKK,1.210876903
KCNJ5,1.208373316
SPAG17,1.207823256
CYP3A4,1.206355342
MAGEA3,1.201408047
MAGEC1,1.200859619
ECT2L,1.200122287
FNDC7,1.200022012
IRGM,1.194302026
CRX,1.189686967
PIK3C2G,1.189622972
VAX1,1.186583811
B3GNT6,1.185771654
POTEB3,1.18493618
DKK4,1.184735465
CLPSL1,1.174965682
HOXB9,1.170075203
TMEM212,1.168548292
C8B,1.168535028
SIM1,1.16179783
DEFB134,1.158461399
TSPAN19,1.157754017
FGA,1.150799464
CPNE9,1.148567732
FUT3,1.145897833
SRARP,1.14579859
NDRG4,1.141757421
CAMKV,1.140816887
NPFFR2,1.139185703
PROC,1.138544739
AKAP14,1.135318875
OBP2B,1.13076527
KHDC1L,1.130567501
C1orf61,1.129602215
RHEX,1.129392203
SERPINA6,1.128866321
SAGE1,1.128017299
TMEM171,1.127833461
AMER3,1.122760168
GRIN2C,1.120738239
AMH,1.119572095
FAM216B,1.119215604
TLCD3B,1.113629445
AHSG,1.111176151
GPR52,1.10960153
ROPN1L,1.105039583
FGL1,1.102332921
VWA5B1,1.101667676
UGT1A1,1.100398308
INSM2,1.096635224
SOX1,1.09130676
LCN15,1.084650935
EMX1,1.080571261
ABCG2,1.077089289
CIBAR2,1.073566944
WDR38,1.06891171
SLC16A12,1.066715338
SLC26A3,1.061170353
LY6G6C,1.060089183
IAPP,1.057853514
SLC2A9,1.056330312
KRT75,1.051867158
DPEP1,1.05160454
ABCC12,1.047729878
PAQR8,1.047468976
CSAG1,1.04618941
HNF1A,1.045140726
ISG15,1.044607725
DEFB126,1.043589183
CCDC194,1.042113019
NUTM2F,1.041306189
SLC17A4,1.041189788
IL36RN,1.039056442
ANO1,1.032806558
SLC25A47,1.031418009
ATP10B,1.030879978
SNTN,1.030163214
APOH,1.028546069
NWD2,1.028075716
OR52E8,1.026319541
LCT,1.023213352
CYP4F8,1.02200755
DSCAM,1.020006676
SLC38A8,1.016889529
FAM71F1,1.01551574
APOBEC4,1.005023882
GRIA4,1.004930281
RAX,1.004888569
GSTM1,1.000877208
PRDM16,0.999018356
C19orf81,0.99893498
AFP,0.996835466
CA10,0.995711223
PCDHA1,0.994595298
ADTRP,0.993159981
IVL,0.992524461
A1CF,0.992322793
SLC22A10,0.990701715
CHIA,0.99044908
EFNA2,0.990206232
HP,0.988732308
LINC02203,0.987022756
KIR2DL3,0.983515149
C21orf62,0.983131021
HBQ1,0.982364234
SLC46A2,0.981397582
G6PC,0.980236443
MYBPC3,0.979856658
RAD21L1,0.978327263
DCAF12L1,0.978102619
C1orf158,0.977223587
CHEK1,0.973099896
TNMD,0.972131049
CYP26A1,0.971669409
MARCHF4,0.971362884
IGFBP1,0.970453933
GABRA1,0.969092588
MAT1A,0.968148041
ZPLD1,0.967982948
HOXC13,0.964401944
ERAS,0.963794531
CAPSL,0.962616691
TUBA4B,0.961816869
PRSS55,0.961469087
SLC28A3,0.960765306
PON3,0.959669643
SLCO4C1,0.957969826
OR5B12,0.956849299
SOX3,0.956595385
FOXB2,0.955885676
DNAH8,0.954555648
MT4,0.952910265
INSL6,0.952747177
C10orf99,0.950872932
TTR,0.949185671
TMEM207,0.947194715
CST1,0.945770151
SLC31A2,0.945617798
IGF2,0.945581958
NKX2-3,0.945424095
GRIN3A,0.94215872
MRO,0.941618667
GJB7,0.940815962
DAPL1,0.938900543
C13orf42,0.934888936
CLPSL2,0.934401472
ZMYND10,0.934049605
XKR7,0.933040499
SLIT1,0.93125782
CCDC198,0.931245463
SHD,0.928595904
PTX4,0.927707219
FEZF1,0.921447666
LMX1B,0.920599676
LY6L,0.920502955
FADS6,0.92020815
C17orf78,0.918825937
COL2A1,0.917869563
NXPH1,0.91718081
RASAL1,0.915114523
ENKUR,0.914792069
CYP2C9,0.914104814
TH,0.913821102
KCNH5,0.912042312
LIPN,0.910844886
PCDH11Y,0.908145991
LRRC4B,0.906927963
C20orf85,0.906011671
COL11A1,0.905653484
PAGE5,0.905128194
PDK4,0.904044676
TTC29,0.901023011
TEKT1,0.899079886
HSPA6,0.897604238
TPTE,0.896711446
INS,0.893946944
CCDC78,0.890874929
CDHR4,0.889528544
FRMD3,0.889414813
ARC,0.889289496
KCNJ15,0.889138194
PLA2G4A,0.888244282
FABP1,0.887769402
CROCC2,0.883472123
LY6D,0.880082745
CFHR5,0.87982615
OVCH2,0.879001322
TGM6,0.878670792
HOXB7,0.874692191
AXDND1,0.873795681
TAS2R38,0.873356055
CNGB3,0.871001468
PRB2,0.868819194
ECEL1,0.868786178
CLU,0.868318
SH2D1A,0.866786555
PADI3,0.866345366
SLITRK3,0.866085068
UNC13A,0.865077889
RPRML,0.861482206
PCDH17,0.859233017
FOXB1,0.858614048
TMEM238L,0.858233715
GSTM3,0.855971573
LVRN,0.852046775
TWIST1,0.851327962
CST2,0.849950038
PALM3,0.84917136
KCNQ1,0.848285271
SLC24A2,0.847888351
REG4,0.847096105
